fetch_date,uid,username,rank,guard_level,accompany,face,medal_name,medal_level,ruid
2026-01-26,4379318,杦紤,99,3,1785,https://i0.hdslb.com/bfs/face/member/noface.jpg,帅Pi,35,13046
2026-01-26,1301506,火鸡味儿的鍋巴,100,3,1388,https://i1.hdslb.com/bfs/face/cbadd8563d81c94093bed02a9666d1b6d351d768.jpg,帅Pi,35,13046
2026-01-26,4509500,黑のJoker,101,3,1902,https://i2.hdslb.com/bfs/face/e9a78128426366b9b1f1e49b3ff272380ab5c85b.jpg,帅Pi,35,13046
2026-01-26,4772903,望川忆年不回,102,3,1789,https://i2.hdslb.com/bfs/face/7602a9ebbd101b50452e04c0cff2acbbc3e3ac76.jpg,帅Pi,35,13046
2026-01-26,4856526,hlvs2,103,3,1880,https://i0.hdslb.com/bfs/face/9f6368977e133dcac5c3eedf401fb51ddc4ee515.jpg,帅Pi,35,13046
2026-01-26,14786650,晴桑Hare,104,3,1951,https://i1.hdslb.com/bfs/face/d96f1488e1e05d8955a7e0732b8ef2001d876e7c.jpg,帅Pi,35,13046
2026-01-26,11502947,刺莓瓜,105,3,1056,https://i2.hdslb.com/bfs/face/fbf21dbff3aa0875edcae500f034686d52e230c8.jpg,帅Pi,35,13046
2026-01-26,10021007,零落の雨,106,3,1532,http://i2.hdslb.com/bfs/face/abb0b8eb4a6431560825f47d6cf247109877051b.jpg,帅Pi,35,13046
2026-01-26,103397301,录2碧,107,3,1887,https://i0.hdslb.com/bfs/face/dee1d0339af28523c43ba2590005dfc012868ce3.jpg,帅Pi,35,13046
2026-01-26,549624,绯铯之空,108,3,1877,https://i0.hdslb.com/bfs/face/eb17c3782430e0aac0e97a0884880f34a5b4b4a1.jpg,帅Pi,35,13046
2026-01-26,2476279,A_脆pi桃,109,3,1665,https://i1.hdslb.com/bfs/face/68c79e0481457a982ca9466a629c0d3cf5fdd758.jpg,帅Pi,35,13046
2026-01-26,8124141,一瞬です,110,3,856,https://i0.hdslb.com/bfs/face/919fa734b0f13ce44fe9cf0542b54603a043f458.jpg,帅Pi,35,13046
2026-01-26,4590515,海纳henar,111,3,1328,https://i2.hdslb.com/bfs/face/d3b5dcdfbfac2f90b4c6c002a6bed858b9718c06.jpg,帅Pi,35,13046
2026-01-26,10756231,黑色的喵··,112,3,1597,http://i1.hdslb.com/bfs/face/ad055259ee8c0e649fb9a47fb7d315a4da2feeab.jpg,帅Pi,35,13046
2026-01-26,12632706,jmx750,113,3,1340,http://i0.hdslb.com/bfs/face/member/noface.jpg,帅Pi,35,13046
2026-01-26,4592963,黑衣菌,114,3,1887,https://i2.hdslb.com/bfs/face/ed8bd2667efee0cec2bfd45b64551811b5a7139d.jpg,帅Pi,35,13046
2026-01-26,31381015,Guavain,115,3,1626,https://i1.hdslb.com/bfs/face/69bb09f53c7cd84d5d89a3db699ddc6ecb1142b0.jpg,帅Pi,35,13046
2026-01-26,32847748,十茶_,116,3,1468,https://i1.hdslb.com/bfs/face/32e0c11f064edbbe99fa46495cdad3c3c9d1164a.jpg,帅Pi,35,13046
2026-01-26,4609780,噬巫礼葬,117,3,983,https://i1.hdslb.com/bfs/face/96ac1ef2f071ed56e609cb110c95450a516db371.jpg,帅Pi,35,13046
2026-01-26,2608393,学力五的渣渣,118,3,1815,https://i1.hdslb.com/bfs/face/765bee3890f09da2bd90ea51fe5058134e52bd60.jpg,帅Pi,35,13046
2026-01-26,12175912,花开丶亦相惜,119,3,1093,https://i1.hdslb.com/bfs/face/bdf4b65b49fe0d2683e88a14cc5e1b8da56d518d.jpg,帅Pi,35,13046
2026-01-26,39598980,大猫不喝长岛冰茶,120,3,1480,https://i0.hdslb.com/bfs/face/e1c4e21573baf5c3fb99e00f4f7e4dfb80c9d8ca.jpg,帅Pi,35,13046
2026-01-26,3094784,Azzzzzhou,121,3,1705,https://i2.hdslb.com/bfs/face/663a61c57df1f517eefb17f5e87d8c6b585f2570.jpg,帅Pi,35,13046
2026-01-26,12177545,ajmd的球,122,3,1428,https://i2.hdslb.com/bfs/face/b88ef3d05a41d175304cc9dcf636e6a880f793b2.jpg,帅Pi,35,13046
2026-01-26,1708940,瞌睡TvT,123,3,1518,https://i2.hdslb.com/bfs/face/3e0beb1511876531ed41378ee67c978224c15119.jpg,帅Pi,35,13046
2026-01-26,3014401,Deitu,124,3,1330,https://i1.hdslb.com/bfs/face/e303a915fd47b454a3f13d2389d777335bddbfd4.jpg,帅Pi,35,13046
2026-01-26,2296569,高高的电线杆,125,3,1631,https://i0.hdslb.com/bfs/face/5ada84fde31a7bf9776bf8d3015d2b83a854fcb7.jpg,帅Pi,35,13046
2026-01-26,13652638,轰天雷鸣,126,3,1394,https://i1.hdslb.com/bfs/face/e43141bd7ce1a61c231541aa83bf1b2ac14939f8.jpg,帅Pi,35,13046
2026-01-26,9907873,白皮的亥,127,3,1440,https://i1.hdslb.com/bfs/face/e64a58dbb8084871fb82a65768d6dd4b8379103e.jpg,帅Pi,35,13046
